Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;2.53;1.63;1.98;1.73;0.73;0.36;0.91;0.17;1.67;4.124;3.1043;1.278;67.657;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_chloe;2.71;1.67;2.27;1.85;0.65;0.34;0.98;0.18;1.67;4.526;3.2455;1.194;97.739;;LABOR;
Satyrinae;Brassolini;Opoptera;Opoptera_aorsa;2.97;2.05;2.86;2.45;0.62;0.42;1.04;0.27;1.67;6.089;2.8976;1.038;80.653;;LABOR;
Satyrinae;Satyrini;Posttaygetis;Posttaygetis_penelea;3.01;1.9;2.5;2.14;0.59;0.39;1.07;0.13;1.68;5.719;3.1684;1.204;100.961;;LABOR;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_ypthima;3.48;2.03;2.89;2.33;0.64;0.43;1.07;0.12;1.68;7.064;3.4286;1.204;102.339;Macho;BoA;
Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_amussis;2.5;1.61;2.14;1.92;0.5;0.26;1.12;0.08;1.69;4.025;3.1056;1.168;184.911;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_arginussa;2.79;1.96;2.11;1.85;NA;NA;NA;0.21;1.69;5.468;2.8469;1.322;NA;Macho;BoA;
Satyrinae;Haeterini;Pierella;Pierella_lena;3.8;1.95;3.2;2.27;0.71;0.36;1;0.12;1.69;7.41;3.8974;1.188;156.929;Sexo não identificado;BoA;
Charaxinae;Anaeini;Memphis;Memphis_moruus;3.1;2.42;2.47;2.22;NA;NA;NA;NA;1.69;7.502;2.562;1.255;NA;Sexo não identificado;BoA;stheno
Biblidinae;Callicorini;Callicore;Callicore_texa;2.54;1.51;1.87;1.67;0.64;0.36;1.09;0.19;1.7;3.835;3.3642;1.358;77.783;Sexo não identificado;BoA;maximila
Charaxinae;Anaeini;Memphis;Memphis_hirta;2.55;1.83;2.07;1.88;0.81;0.21;0.88;0.14;1.7;4.667;2.7869;1.232;182.036;Sexo não identificado;BoA;
Charaxinae;Anaeini;Memphis;Memphis_leonida;2.61;2.16;2.06;2.02;0.9;0.47;0.81;0.22;1.7;5.638;2.4167;1.267;34.264;Macho;BoA;
Biblidinae;Callicorini;Catagramma;Catagramma_hydarnis;2.3;1.46;1.65;1.51;0.82;NA;0.92;0.15;1.71;3.358;3.1507;1.394;NA;Sexo não identificado;BoA;
Biblidinae;Catonephelini;Eunica;Eunica_maja;2.7;1.51;1.95;1.75;0.69;0.33;0.97;0.12;1.71;4.077;3.5762;1.385;97.018;;LABOR;
Satyrinae;Brassolini;Narope;Narope_panniculus;3.05;2.02;2.28;2.09;0.68;0.34;1.04;0.21;1.71;6.161;3.0198;1.338;118.34;Sexo não identificado;BoA;
Biblidinae;Biblidini;Biblis;Biblis_hyperia;2.77;1.94;2.11;2.04;0.55;0.35;1.14;0.15;1.72;5.374;2.8557;1.313;113.883;;LABOR;
Charaxinae;Anaeini;Polygrapha;Polygrapha_suprema;3.72;2.2;2.35;2.3;0.98;0.51;0.74;0.36;1.72;8.184;3.3818;1.583;54.29;Sexo não identificado;BoA;
Biblidinae;Callicorini;Callicore;Callicore_astarte;2.61;1.63;2.09;1.74;0.71;0.39;0.99;0.22;1.73;4.254;3.2025;1.249;63.08;;LABOR;
Biblidinae;Epiphilini;Epiphile;Epiphile_orea;2.67;1.7;2.03;1.92;0.72;0.46;1;0.15;1.73;4.539;3.1412;1.315;46.792;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_basilia;2.28;2.22;2.08;2.03;0.94;0.48;0.83;0.26;1.73;5.062;2.0541;1.096;24.003;Sexo não identificado;BoA;
